child_id,child_age_group,count_children_present
ID_RTAL42FKC,50-59 months,29.0
ID_5SC33NR3Z,50-59 months,29.0
ID_BT11L4SM3,50-59 months,29.0
ID_PJGPO56K7,50-59 months,29.0
ID_Y1KKIXLGR,50-59 months,29.0
ID_5ZEVDLWVH,50-59 months,29.0
ID_P2KGHNMCX,50-59 months,29.0
ID_YLFE0VCCC,50-59 months,29.0
ID_H6C6R7EV0,50-59 months,29.0
ID_3CT546JX5,60-69 months,40.0
ID_JY1F14INO,60-69 months,40.0
ID_X9BV8AV2H,50-59 months,29.0
ID_HA8747K6A,50-59 months,29.0
ID_5IYGH1PBJ,50-59 months,29.0
ID_AC4PUKSOP,50-59 months,29.0
ID_3TIA46H49,60-69 months,40.0
ID_Y5WAO26UO,50-59 months,29.0
ID_SUMJ5DP72,50-59 months,29.0
ID_G14WD9JDX,50-59 months,29.0
ID_O2ALQ9582,50-59 months,29.0
ID_PULJM98PM,60-69 months,40.0
ID_CUXA12H34,50-59 months,29.0
ID_555R1WI01,60-69 months,40.0
ID_FR89ZFSB0,60-69 months,40.0
ID_ZID400QLL,50-59 months,29.0
ID_0B48Q9WLD,60-69 months,40.0
ID_CNMSG3FZ2,60-69 months,40.0
ID_PW9MSNB0T,50-59 months,29.0
ID_PGMJTL7ZK,50-59 months,29.0
ID_9S7BRSJ0I,60-69 months,40.0
ID_T6EMAGQ5S,60-69 months,40.0
ID_TDY04R6W8,50-59 months,29.0
ID_T3KMB51H5,50-59 months,29.0
ID_ODZVEDXLQ,50-59 months,29.0
ID_FDOF3J4MA,50-59 months,29.0
ID_HGDKNUUP6,50-59 months,29.0
ID_WQ3PEHPMX,50-59 months,29.0
ID_23Z28FG32,50-59 months,29.0
ID_U8L4450FG,50-59 months,29.0
ID_CXVZEQK5L,60-69 months,40.0
ID_BT0CI0NLF,50-59 months,29.0
ID_MFZAAS06T,50-59 months,29.0
ID_B5PES93UW,60-69 months,40.0
ID_MTW6YESIS,50-59 months,29.0
ID_66ZWO6HIR,50-59 months,29.0
ID_ZFKL07EJF,60-69 months,40.0
ID_7B8AR2PMV,60-69 months,40.0
ID_KM9Z1AHK1,60-69 months,40.0
ID_LKFHA1KNI,50-59 months,29.0
ID_D7DYT44TU,60-69 months,40.0
ID_VSSX339YW,60-69 months,40.0
ID_BXKTDOYGC,50-59 months,29.0
ID_PUIAWKJM5,60-69 months,40.0
ID_FL1AGT92O,50-59 months,29.0
ID_FHN4PSCAO,60-69 months,40.0
ID_ISTM81CZG,60-69 months,40.0
ID_OXWEHCQH4,50-59 months,29.0
ID_XQNJT426G,50-59 months,29.0
ID_PDCOBP37G,60-69 months,40.0
ID_XAZMU3ZTS,50-59 months,29.0
ID_FZS85OR1G,50-59 months,29.0
ID_QFRDPXGHO,50-59 months,29.0
ID_FPEWP519B,50-59 months,29.0
ID_ADLOU42TB,60-69 months,40.0
ID_TK7TW0PH0,50-59 months,29.0
ID_2GEIO8R9H,50-59 months,29.0
ID_QH2UO51NK,50-59 months,29.0
ID_UMV0YKIWF,50-59 months,29.0
ID_0HDGXHXN9,50-59 months,29.0
ID_9PRUWEPYM,60-69 months,40.0
ID_5DYI2O47J,60-69 months,40.0
ID_4OE12QFXM,50-59 months,29.0
ID_1SVKZ1RVK,50-59 months,29.0
ID_BMBMSLCW4,50-59 months,29.0
ID_BPY0XS9HE,50-59 months,29.0
ID_0T77UBHG9,60-69 months,40.0
ID_MQX100M0U,50-59 months,29.0
ID_C8OS7CDZX,50-59 months,29.0
ID_2XZ3V2X0W,50-59 months,29.0
ID_0UB0SFZ4Z,50-59 months,29.0
ID_922CATB0I,50-59 months,29.0
ID_V62C73RPV,50-59 months,29.0
ID_XUOKX4PK6,50-59 months,29.0
ID_X9QCJDD0L,60-69 months,40.0
ID_L8WU7GJ9C,50-59 months,29.0
ID_936ORVFIE,50-59 months,29.0
ID_IVEBPD122,60-69 months,40.0
ID_7T4W1GZGN,60-69 months,40.0
ID_P2BA7QUTM,50-59 months,29.0
ID_HEPLUKVJV,50-59 months,29.0
ID_VYU2J4Q25,50-59 months,29.0
ID_P74TTSOS0,60-69 months,40.0
ID_W1IA31XTB,60-69 months,40.0
ID_AJDLLSBEC,50-59 months,29.0
ID_IL5M8MQX0,60-69 months,40.0
ID_S7XW0ZHT8,60-69 months,40.0
ID_27PRRN2WT,50-59 months,29.0
ID_EY1QQYF37,50-59 months,29.0
ID_03PTDDHX0,50-59 months,29.0
ID_UWZ3PV3OC,60-69 months,40.0
ID_2BYTWKZUS,60-69 months,40.0
ID_P9T2HPEJE,60-69 months,40.0
ID_66BPER8AP,50-59 months,29.0
ID_B2I01KWTK,50-59 months,29.0
ID_A7UJ7XW7W,50-59 months,29.0
ID_HCXQPB32X,60-69 months,40.0
ID_M2KCIBMQW,50-59 months,29.0
ID_ORT8588AL,50-59 months,29.0
ID_JCP3JRWBL,50-59 months,29.0
ID_ZIUIK6KI3,50-59 months,29.0
ID_M4PQ6ADP5,60-69 months,40.0
ID_HCWFE3JZ5,50-59 months,29.0
ID_R4DMZSKSM,50-59 months,29.0
ID_GXN832RE9,60-69 months,40.0
ID_NPX8YY6N3,50-59 months,29.0
ID_GFMHYPVQZ,50-59 months,29.0
ID_X58LH36AZ,60-69 months,40.0
ID_M0BHWIL9F,50-59 months,29.0
ID_Y0P5Q6WQY,50-59 months,29.0
ID_M82BT9NDA,50-59 months,29.0
ID_V8NPXA856,60-69 months,40.0
ID_5EM48DDDQ,50-59 months,29.0
ID_1L514Z0LG,50-59 months,29.0
ID_5O9E3DR3L,50-59 months,29.0
ID_OO6TIP2GG,60-69 months,40.0
ID_P5PX4Y0XS,50-59 months,29.0
ID_W7VB3KJAD,60-69 months,40.0
ID_WRZU9G44L,50-59 months,29.0
ID_BEWMD8RR1,50-59 months,29.0
ID_P5IOA4ZR8,50-59 months,29.0
ID_W8XYH95O2,60-69 months,40.0
ID_TILVN7F80,60-69 months,40.0
ID_27LDG7HB8,50-59 months,29.0
ID_D30ZTMJNJ,50-59 months,29.0
ID_2BK6OUGPQ,60-69 months,40.0
ID_TL2IMNIC0,50-59 months,29.0
ID_2HQEBX3HF,50-59 months,29.0
ID_U9E4Y6MD4,60-69 months,40.0
ID_P6TN6HEHR,50-59 months,29.0
ID_9VHFIHNJB,50-59 months,29.0
ID_UBTFR5FQU,50-59 months,29.0
ID_XS3Q9135T,50-59 months,29.0
ID_L70L1VZEP,60-69 months,40.0
ID_WR0PSHCD4,50-59 months,29.0
ID_ZQXQDRVG6,50-59 months,29.0
ID_ZTKTNFULV,50-59 months,29.0
ID_R8L4DQM72,50-59 months,29.0
ID_RFQT0NWS9,70 Months or older,24.0
ID_06KP00IHN,50-59 months,29.0
ID_4Z8ZP5FZI,60-69 months,40.0
ID_X39NK7AVU,60-69 months,40.0
ID_QE4NDLK3N,50-59 months,29.0
ID_48XRP0GRC,60-69 months,40.0
ID_EAEYJDRFV,50-59 months,29.0
ID_D6CGCTH1F,60-69 months,40.0
ID_AIWDXP6V0,60-69 months,40.0
ID_IKDS5D6IS,60-69 months,40.0
ID_VCO05B1I2,60-69 months,40.0
ID_FG6RD31RW,50-59 months,29.0
ID_M1BXZ87WS,50-59 months,29.0
ID_4KKTIBYIY,50-59 months,29.0
ID_X1I4SLAUX,60-69 months,40.0
ID_WJAWK49G3,50-59 months,29.0
ID_UR97D989W,60-69 months,40.0
ID_GSE8180PF,50-59 months,29.0
ID_SJOFDPG7F,60-69 months,40.0
ID_Z5HZHZUDX,60-69 months,40.0
ID_ZQJI1INRL,60-69 months,40.0
ID_KCLMB34E6,60-69 months,40.0
ID_T6Z2QZJTM,50-59 months,29.0
ID_EJITH4D3Q,50-59 months,29.0
ID_D3T2276SY,50-59 months,29.0
ID_KTUKEVDJQ,50-59 months,29.0
ID_RFTR97Q7A,50-59 months,29.0
ID_67RL7W13Z,60-69 months,40.0
ID_NXEYMWZQK,60-69 months,40.0
ID_QU0CUV4QU,60-69 months,40.0
ID_KNAYHVSEE,60-69 months,40.0
ID_A4L91G1J1,50-59 months,29.0
ID_PQ6CHBACX,50-59 months,29.0
ID_S0HAH7IPL,60-69 months,40.0
ID_YPVSFUNJA,50-59 months,29.0
ID_W1J0MSJ44,50-59 months,29.0
ID_HENSYR7Q6,50-59 months,29.0
ID_8F5AVDPIQ,60-69 months,40.0
ID_2BD8COSR9,50-59 months,29.0
ID_TFRVG0VP9,50-59 months,29.0
ID_Z26X8VOGK,60-69 months,40.0
ID_TVD6C1FDR,50-59 months,29.0
ID_9XWJ0I32V,50-59 months,29.0
ID_E35S4JSAR,60-69 months,40.0
ID_J0UF6LN6T,60-69 months,40.0
ID_G9NQFZ9O5,50-59 months,29.0
ID_P741XPWDQ,60-69 months,40.0
ID_8S1D58UN2,60-69 months,40.0
ID_EZ4MYF1SP,50-59 months,29.0
ID_4AKOCOVH8,60-69 months,40.0
ID_45J9IXDWK,60-69 months,40.0
ID_HSH35GSE3,60-69 months,40.0
ID_MDC7GENAI,60-69 months,40.0
ID_MORZ2BCBD,50-59 months,29.0
ID_9NOVCTR64,50-59 months,29.0
ID_YB16O05CT,50-59 months,29.0
ID_96D59RG39,50-59 months,29.0
ID_VIQDH5HCK,50-59 months,29.0
ID_3V8EYAO60,50-59 months,29.0
ID_BBSOZC09T,60-69 months,40.0
ID_JGSEDR5FL,50-59 months,29.0
ID_ZS1IJA7Y0,50-59 months,29.0
ID_RVWTUGFMX,50-59 months,29.0
ID_D7FDJ3B7B,50-59 months,29.0
ID_S20TKH1D5,50-59 months,29.0
ID_BN9XZU81X,50-59 months,29.0
ID_4B167CGBQ,50-59 months,29.0
ID_QF1R03ZRV,50-59 months,29.0
ID_7GF8X23RY,50-59 months,29.0
ID_A4PF6WK1U,60-69 months,40.0
ID_74YT3M3RL,50-59 months,29.0
ID_VQ1ZKPCH4,50-59 months,29.0
ID_9LK2T77F4,60-69 months,40.0
ID_TH1HZEQ1L,50-59 months,29.0
ID_BT3OPLM5J,50-59 months,29.0
ID_ET6K6HL2Z,60-69 months,40.0
ID_T7CU3ODSX,50-59 months,29.0
ID_R1A966HPM,50-59 months,29.0
ID_4TZ9S5IA5,50-59 months,29.0
ID_SHIHF5GAL,60-69 months,40.0
ID_HPKTGMUO9,50-59 months,29.0
ID_4UGXCQ17W,50-59 months,29.0
ID_810YJQ20J,50-59 months,29.0
ID_29HZVWGIO,60-69 months,40.0
ID_3COTO7ADE,60-69 months,40.0
ID_XJI1DK44M,60-69 months,40.0
ID_R60HW9ZH8,50-59 months,29.0
ID_TDWA4MQXD,50-59 months,29.0
ID_8DV30GPOG,60-69 months,40.0
ID_MPTB7ADOS,60-69 months,40.0
ID_MPIVP43SE,50-59 months,29.0
ID_WRTKHKODC,50-59 months,29.0
ID_9NY5MT0RG,50-59 months,29.0
ID_W26P3O9CM,50-59 months,29.0
ID_W5GB8X8L1,60-69 months,40.0
ID_8D5O66NXT,50-59 months,29.0
ID_BZYQLLUBO,50-59 months,29.0
ID_9SFB3G63I,50-59 months,29.0
ID_639ZYML80,60-69 months,40.0
ID_GXPZANPEC,50-59 months,29.0
ID_LVRCZYD4D,60-69 months,40.0
ID_SLSO2VFOA,50-59 months,29.0
ID_0F9I58KOY,50-59 months,29.0
ID_7USJ9IHUD,50-59 months,29.0
ID_BFTRK01HX,50-59 months,29.0
ID_AA7UQY6OG,50-59 months,29.0
ID_0DTROXFNI,60-69 months,40.0
ID_A3IIB2KTO,50-59 months,29.0
ID_YLZIHMAH8,50-59 months,29.0
ID_GXJJJXTKM,60-69 months,40.0
ID_E5X9TCFWJ,50-59 months,29.0
ID_25B635P8P,50-59 months,29.0
ID_YXYE4I5B0,50-59 months,29.0
ID_C67J3KZCJ,50-59 months,29.0
ID_2A3KFG4LT,50-59 months,29.0
ID_OIOF58JUO,50-59 months,29.0
ID_5AFA0E5DY,50-59 months,29.0
ID_A8W8NEG2X,50-59 months,29.0
ID_45MEGWYVV,60-69 months,40.0
ID_UBJAZHODT,50-59 months,29.0
ID_YXUSHG0ES,50-59 months,29.0
ID_QOL6BJ7RC,50-59 months,29.0
ID_GDW4VASXA,60-69 months,40.0
ID_0VC2OSWSL,50-59 months,29.0
ID_4CGMXQHRC,50-59 months,29.0
ID_2V5I83K8X,50-59 months,29.0
ID_CLHUQY5RB,60-69 months,40.0
ID_9IR7QPKE4,50-59 months,29.0
ID_WQGHTCDNF,50-59 months,29.0
ID_W4KAWKF52,60-69 months,40.0
ID_F4V36HIT9,50-59 months,29.0
ID_WX7PLZGLL,50-59 months,29.0
ID_5I0UJXJBR,60-69 months,40.0
ID_KXN59GL45,50-59 months,29.0
ID_IE2LVIA45,50-59 months,29.0
ID_AW7JCYF8V,60-69 months,40.0
ID_EUW3WGMB8,60-69 months,40.0
ID_1W563RJH0,50-59 months,29.0
ID_WY8D8N9DZ,50-59 months,29.0
ID_SN5JE72MH,50-59 months,29.0
ID_WX77GYK4N,60-69 months,40.0
ID_54K8I22C1,50-59 months,29.0
ID_1FQEE47L8,50-59 months,29.0
ID_AQB7W3HWJ,50-59 months,29.0
ID_54R2SLP2U,50-59 months,29.0
ID_DXE31Z2OL,60-69 months,40.0
ID_8ZX1N6CG4,60-69 months,40.0
ID_PV28Y3W22,60-69 months,40.0
ID_P8WIYOCYI,50-59 months,29.0
ID_FOK9GKLSU,60-69 months,40.0
ID_R8E3CGHUW,60-69 months,40.0
ID_4SCRLE2J2,50-59 months,29.0
ID_Q1FCAHVOD,50-59 months,29.0
ID_Z7N5LLNMC,50-59 months,29.0
ID_5W5CRAKSG,60-69 months,40.0
ID_LCA2JRX1G,60-69 months,40.0
ID_NEY1EJQZK,60-69 months,40.0
ID_9A7007ONZ,60-69 months,40.0
ID_UW61MSBBL,60-69 months,40.0
ID_3U9MQP8TM,60-69 months,40.0
ID_YEGLWG5NE,60-69 months,40.0
ID_0HHCZGZ09,50-59 months,29.0
ID_TJQT7ZXFJ,60-69 months,40.0
ID_QY44G7PUR,60-69 months,40.0
ID_RFPRWLX2L,60-69 months,40.0
ID_9C9GXGSP2,50-59 months,29.0
ID_QIWZ3K165,50-59 months,29.0
ID_O36ESGV0N,50-59 months,29.0
ID_ZT3428RQD,50-59 months,29.0
ID_MPOE2SZVH,60-69 months,40.0
ID_8C6I14YCG,50-59 months,29.0
ID_TZATJDL0U,50-59 months,29.0
ID_JZC6BR3AN,50-59 months,29.0
ID_SIP0PS2WS,50-59 months,29.0
ID_MCICAFJIP,50-59 months,29.0
ID_ONGC0PL1J,60-69 months,40.0
ID_TE7M56G7E,50-59 months,29.0
ID_YK9L45QAW,50-59 months,29.0
ID_T4K3COLKL,50-59 months,29.0
ID_LKBJZ847Y,60-69 months,40.0
ID_PM69BAD1O,50-59 months,29.0
ID_2N9IYMEY4,50-59 months,29.0
ID_IPHA9JI8K,50-59 months,29.0
ID_NW8X7PVLV,50-59 months,29.0
ID_FIV1ORC7S,50-59 months,29.0
ID_JRXW4JXKP,50-59 months,29.0
ID_A1HJW9DQN,60-69 months,40.0
ID_S0JDR4WW6,60-69 months,40.0
ID_976RKJDB2,50-59 months,29.0
ID_RH2ZKLAHG,60-69 months,40.0
ID_ONXVJXA8R,50-59 months,29.0
ID_7SF2VJH1Q,50-59 months,29.0
ID_5WOI2WKNL,50-59 months,29.0
ID_21GYRT63Y,60-69 months,40.0
ID_UCWH63PCP,50-59 months,29.0
ID_TCQRQDMYS,60-69 months,40.0
ID_Z1DX6OWSQ,50-59 months,29.0
ID_FLFZQ4O7M,60-69 months,40.0
ID_F9MR84U2P,60-69 months,40.0
ID_Y5BAAYH2U,60-69 months,40.0
ID_ZG8KT7QG9,50-59 months,29.0
ID_BEW0SAJ42,60-69 months,40.0
ID_2BDGYV6YL,50-59 months,29.0
ID_BQVSMPUDR,60-69 months,40.0
ID_9A2EE21M0,50-59 months,29.0
ID_B9KDFVUP0,50-59 months,29.0
ID_F9OD1PFFP,50-59 months,29.0
ID_3C5I3N9Z8,50-59 months,29.0
ID_L3UNNF5AK,60-69 months,40.0
ID_ZYHQ0SNJY,50-59 months,29.0
ID_FQWBUGHYT,60-69 months,40.0
ID_P0MXSFWR1,60-69 months,40.0
ID_LNYKF5031,60-69 months,40.0
ID_B1JEUA3FT,50-59 months,29.0
ID_KDVSYYOO8,50-59 months,29.0
ID_O74WYNK7V,60-69 months,40.0
ID_C4RK83A6F,50-59 months,29.0
ID_V1102CTL9,50-59 months,29.0
ID_GGAWNMV17,60-69 months,40.0
ID_PHFSILOS2,60-69 months,40.0
ID_8UWITMFMK,50-59 months,29.0
ID_BNZAU1PUB,60-69 months,40.0
ID_ADI9PTG4J,50-59 months,29.0
ID_WKKH4SD2G,50-59 months,29.0
ID_FUOGD2FQK,50-59 months,29.0
ID_DTJHWL38A,60-69 months,40.0
ID_PXY2C6R58,50-59 months,29.0
ID_58JQIM36N,60-69 months,40.0
ID_OVG2GGD0E,50-59 months,29.0
ID_FCYFISREV,50-59 months,29.0
ID_WHWL0F8JU,60-69 months,40.0
ID_0L77QQ1WY,50-59 months,29.0
ID_S5G66U3SI,50-59 months,29.0
ID_17IY2MZEG,50-59 months,29.0
ID_GVMQFIHY3,60-69 months,40.0
ID_6VVZ4M4PX,50-59 months,29.0
ID_TBGVVISVG,50-59 months,29.0
ID_E6UW91AWW,50-59 months,29.0
ID_U4XQZF2I3,50-59 months,29.0
ID_NU65JN8K5,50-59 months,29.0
ID_QN0QOIFA2,60-69 months,40.0
ID_I1V451VGD,50-59 months,29.0
ID_ZALK7MYUP,50-59 months,29.0
ID_BJYS9ELH4,60-69 months,40.0
ID_3J89XYWN6,60-69 months,40.0
ID_LWTFCGD8M,50-59 months,29.0
ID_YSHVXWMCP,50-59 months,29.0
ID_A4ACPIX11,60-69 months,40.0
ID_UCGL0M9MG,50-59 months,29.0
ID_I448NLGKI,50-59 months,29.0
ID_D0DLKY5QK,50-59 months,29.0
ID_UATG5UJKE,60-69 months,40.0
ID_5R5EBIP2M,50-59 months,29.0
ID_TRGUALWBC,50-59 months,29.0
ID_NSQD3X87E,60-69 months,40.0
ID_KPBJPJ0L8,50-59 months,29.0
ID_ZI094H5VW,50-59 months,29.0
ID_4JECRAK06,50-59 months,29.0
ID_8KD72DNJ9,50-59 months,29.0
ID_FEYNN3JVW,50-59 months,29.0
ID_HI2GPIA7O,50-59 months,29.0
ID_DIJ0BIPTW,50-59 months,29.0
ID_JJ499Y0SN,60-69 months,40.0
ID_C7AQ3QB7K,50-59 months,29.0
ID_6H9X5KNQ5,60-69 months,40.0
ID_8XGIODMBW,50-59 months,29.0
ID_4WNUQN7ZT,50-59 months,29.0
ID_022UEP4EM,60-69 months,40.0
ID_87D292TV1,60-69 months,40.0
ID_MNOR5YK3D,50-59 months,29.0
ID_0A9UYWDH9,50-59 months,29.0
ID_NK5ANCHC4,50-59 months,29.0
ID_QXZZFEOHU,60-69 months,40.0
ID_2BCDV5K21,50-59 months,29.0
ID_ALQJH9FO6,60-69 months,40.0
ID_FNVI2GG3J,50-59 months,29.0
ID_XJNLLONEH,50-59 months,29.0
ID_5STZYSSKU,60-69 months,40.0
ID_TJ2X20XOJ,50-59 months,29.0
ID_NARJ8XNOP,50-59 months,29.0
ID_TXGVYYYHH,50-59 months,29.0
ID_GAN1MQZLH,50-59 months,29.0
ID_ZJ0PB2RFL,50-59 months,29.0
ID_EM5OFEKW2,50-59 months,29.0
ID_PPARE41JK,50-59 months,29.0
ID_32AUZ8W9V,50-59 months,29.0
ID_COJ86AGLK,50-59 months,29.0
ID_6YO5J3ZFE,50-59 months,29.0
ID_AVHNPVIBN,50-59 months,29.0
ID_4UO49J6WB,50-59 months,29.0
ID_LZZIMD4AM,50-59 months,29.0
ID_IEO402R03,60-69 months,40.0
ID_LKPM0I89O,60-69 months,40.0
ID_BLKIXSL3Y,60-69 months,40.0
ID_Q86N9JJ3M,50-59 months,29.0
ID_0HC0ZV751,60-69 months,40.0
ID_BXP58216A,60-69 months,40.0
ID_BZ5M9RNMB,50-59 months,29.0
ID_86S5P61F3,50-59 months,29.0
ID_GFJLTYM51,60-69 months,40.0
ID_FQJ3LVGAK,50-59 months,29.0
ID_NGF3HSNFH,50-59 months,29.0
ID_8JSH5UIGY,50-59 months,29.0
ID_Y0LS9F9MJ,60-69 months,40.0
ID_UXBBT739D,50-59 months,29.0
ID_PTA0IRAXG,50-59 months,29.0
ID_3R5P0WQHO,50-59 months,29.0
ID_W7B4URDDM,50-59 months,29.0
ID_10F0LY0OK,60-69 months,40.0
ID_P27VC7L23,50-59 months,29.0
ID_7G935E9HD,50-59 months,29.0
ID_C0FS07A7I,50-59 months,29.0
ID_WJLIDN5TX,60-69 months,40.0
ID_H80B0PAY4,60-69 months,40.0
ID_NHOK44ZX6,50-59 months,29.0
ID_NZFH34UR0,50-59 months,29.0
ID_WYL8GS0XV,50-59 months,29.0
ID_0YQ7IM41U,50-59 months,29.0
ID_55LZZKT4V,60-69 months,40.0
ID_OOBNKVMVZ,50-59 months,29.0
ID_PWL15MU87,50-59 months,29.0
ID_BVHB3W34H,50-59 months,29.0
ID_W8WZR0OGB,50-59 months,29.0
ID_Z39PQE5Q7,50-59 months,29.0
ID_VXA815KO5,50-59 months,29.0
ID_GKDV1W7HS,50-59 months,29.0
ID_6WK4HW5E6,50-59 months,29.0
ID_EX02TZDGA,50-59 months,29.0
ID_IR9IW9561,60-69 months,40.0
ID_NZU52SWUG,50-59 months,29.0
ID_NX7YMUYVY,60-69 months,40.0
ID_33BCSMU8B,50-59 months,29.0
ID_MRZKWU98A,50-59 months,29.0
ID_8XQBEFI0P,60-69 months,40.0
ID_MARXE297D,50-59 months,29.0
ID_SFL7YIPGA,60-69 months,40.0
ID_J3BPVN1SK,50-59 months,29.0
ID_CWU4YNMRK,60-69 months,40.0
ID_1J2YU1HC8,50-59 months,29.0
ID_ELHE4BR1B,60-69 months,40.0
ID_856CRT336,50-59 months,29.0
ID_IVO454ABB,50-59 months,29.0
ID_NRWIP7MRZ,60-69 months,40.0
ID_0O8DFBI57,50-59 months,29.0
ID_OOM9AJ7K1,50-59 months,29.0
ID_0EFO8RIZY,50-59 months,29.0
ID_XZ3YQ763M,50-59 months,29.0
ID_493IZL0YA,50-59 months,29.0
ID_T0ME5NPZL,60-69 months,40.0
ID_XF87CDQQN,50-59 months,29.0
ID_LWFR5AFGS,60-69 months,40.0
ID_TBID6SLEK,50-59 months,29.0
ID_00603FMFS,50-59 months,29.0
